##v1.0##
FDN,OBJECT_TYPE,EQT_FDN,ITF_FDN,DOMAIN,ZONE,SITE,NAME,MNEMO,VPN,ITF_IP_ADDRESS,SRV_SENSOR_PARAM_SERVICE,SRV_SENSOR_TYPE,AVG_BWD_IN,MAX_BWD_IN,AVG_BWD_OUT,MAX_BWD_OUT,ACCESS_DSL_TYPE,CIAL_TAIL_CIRCUIT_BWD_UP,CIAL_TAIL_CIRCUIT_BWD_DOWN,CIAL_INTRANET_BWD,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:AAF.ZI:X.RTONE:GASNY-N-NEW.L:A0.N:8-35,VCL,DI:AAF.ZI:X.RTONE:GASNY-N-NEW,DI:AAF.ZI:X.RTONE:GASNY-N-NEW.L:A0,AAF,ROU,GASNY,8-35,gasny-n-new-A0-8-35,,,ZZ,STAT_CDV,6554,6554,6554,6554,SDSL,6554,6554,6000,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:GASNY-S-NEW.L:A0.N:8-35,VCL,DI:AAF.ZI:X.RTONE:GASNY-S-NEW,DI:AAF.ZI:X.RTONE:GASNY-S-NEW.L:A0,AAF,ROU,GASNY,8-35,gasny-s-new-A0-8-35,,,ZZ,STAT_CDV,6554,6554,6554,6554,SDSL,6554,6554,6000,CD02645FBB,BVPN - Corporate 6144,VPO0012,0022665182
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1.L:A0.N:8-35,VCL,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-N1.L:A0,AAF,ROU,HEUDEBOUVILLE,8-35,heudebouville-n1-A0-8-35,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,2000,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-S1.L:A0.N:8-35,VCL,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-S1,DI:AAF.ZI:X.RTONE:HEUDEBOUVILLE-S1.L:A0,AAF,ROU,HEUDEBOUVILLE,8-35,heudebouville-s1-A0-8-35,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,2000,CD02643SAE,BVPN - Corporate 2048,VPO0012,0022665208
DI:ACM.ZI:X.RTONE:ARCEAUX.L:A0.N:8-35,VCL,DI:ACM.ZI:X.RTONE:ARCEAUX,DI:ACM.ZI:X.RTONE:ARCEAUX.L:A0,ACM,MPL,AGENCE ARCEAUX,8-35,arceaux-A0-8-35,,,SD,STAT_CDV,1024,1024,1024,1024,SDSL,1024,1024,500,CD03F373CE,BVPN - Corporate 937,VPO0002,0022977660
DI:ACM.ZI:X.RTONE:DEMANDE.L:GE1/0.N:52,VLAN,DI:ACM.ZI:X.RTONE:DEMANDE,DI:ACM.ZI:X.RTONE:DEMANDE.L:GE1/0,ACM,MPL,BUREAU DE LA DEMANDE,52,demande-GE1/0-52,,,VL,STAT_CDV,0,0,0,0,,7000,7000,6000,CD03F3CTA9,BVPN - Corporate 6739,VPO0005,0022978319
DI:ACM.ZI:X.RTONE:IMMO.L:GE1/0.N:51,VLAN,DI:ACM.ZI:X.RTONE:IMMO,DI:ACM.ZI:X.RTONE:IMMO.L:GE1/0,ACM,MPL,GEST IMMO ET SRC,51,immo-GE1/0-51,,,VL,STAT_CDV,0,0,0,0,,6000,6000,4000,CD03F3FABC,BVPN - Corporate 5711,VPO0005,0022978333
DI:ACM.ZI:X.RTONE:MERCURE.L:A0.N:8-35,VCL,DI:ACM.ZI:X.RTONE:MERCURE,DI:ACM.ZI:X.RTONE:MERCURE.L:A0,ACM,MPL,AGENCE MERCURE,8-35,mercure-A0-8-35,,,SD,STAT_CDV,1024,1024,1024,1024,SDSL,1024,1024,500,CD03DDZ9F5,BVPN - Corporate 937,VPO0002,0022965138
DI:ACM.ZI:X.RTONE:MPL-MASSANE.L:A0.N:8-35,VCL,DI:ACM.ZI:X.RTONE:MPL-MASSANE,DI:ACM.ZI:X.RTONE:MPL-MASSANE.L:A0,ACM,MPL,AG- HAUTS DE MASSANE,8-35,mpl-massane-A0-8-35,,,SD,STAT_CDV,1024,1024,1024,1024,SDSL,1024,1024,500,CD03F36MB0,BVPN - Corporate 937,VPO0002,0022977611
DI:ACM.ZI:X.RTONE:SIEGE.L:GE1/0.N:47,VLAN,DI:ACM.ZI:X.RTONE:SIEGE,DI:ACM.ZI:X.RTONE:SIEGE.L:GE1/0,ACM,MPL,OPAC SIEGE SITE PPAL,47,siege-GE1/0-47,,,VL,STAT_CDV,7400,7400,7400,7400,,14000,14000,10000,CD03DE3Y90,BVPN - Corporate 13980,VPO0005,0022968821
