FDN;TYPE;ADDRESS
DI:LACTALIS.ZI:X.RTCIS:BOURGBB1;testType2;testValue6
DI:LACTALIS.ZI:X.RTCIS:BOURGBB1;testType2;testValue5
DI:LACTALIS.ZI:X.RTCIS:CHANGE;testType2;testValue18
DI:LACTALIS.ZI:X.RTCIS:CHANGE;testType2;testValue25
DI:LACTALIS.ZI:X.RTCIS:CHANGE;testType2;testValue23
DI:LACTALIS.ZI:X.RTCIS:CORCIEUX2;testType7;10.238.64.31
DI:LACTALIS.ZI:X.RTCIS:CORCIEUX2;testType8;testValue41
DI:VEOLIAOST.ZI:X.RTONE:PONTCHAT;ACCESS;testValue1
DI:VEOLIAOST.ZI:X.RTONE:PONTCHAT;ACCESS;testValue2
DI:VEOLIAOST.ZI:X.RTONE:PONTCHAT;ACCESS;testValue3
DI:VEOLIAOST.ZI:X.RTONE:PONTCHAT;testType2;testValue4
DI:VEOLIAOST.ZI:X.RTONE:PONTCHAT;testType2;testValue5
