##v1.0##
FDN,OBJECT_TYPE,DOMAIN,ZONE,SITE,NAME,MNEMO,ADMIN_ADDRESS,COMMUNITY_CODE,COMMUNITY_NAME,CUSTOMER_CODE,CUSTOMER_NAME,COUNTRY_CODE,COUNTRY_NAME,CITY_CODE,CITY_NAME,NETWORK_ROLE,POP_ID,ORIGIN,ACTIVATION_MODEL,SOFTWARE_RELEASE,VOICE_ROLE,IPPBX_ZONE,IS_SHARED,MANUFACTURER,MACRO_TYPE,SRV_STAT_DATA,SRV_IPER_PATH_PERF,SRV_IPER_PATH_PERF_SLA,SRV_IPER_PATH_PERF_CPUMAX_SLA,SRV_IPER_PATH_AVAIL,SRV_IPER_PATH_AVAIL_SLA,SRV_IPER_PATH_AVAIL_CPUMAX_SLA,SRV_IPER_SITE_AVAIL,SRV_IPER_SITE_AVAIL_SLA,SRV_IPER_SITE_AVAIL_CPUMAX_SLA,SRV_IPER_ROUTER_PERF,SRV_IPER_BACKBONE_PATH,SRV_IPER_COS_VOLUME,SRV_IP_DSL_SERVICE_TYPE,SRV_IP_DSL_CARRIER_NAME,SRV_IP_DSL_OFFER_NAME,SRV_3G_SERVICE_TYPE,SRV_3G_CARRIER_CODE,SRV_3G_CARRIER_NAME,SRV_3G_GSM_NUMBER,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:ACM.ZI:X.RTONE:ARCEAUX,RTONE,ACM,MPL,AGENCE ARCEAUX,ARCEAUX,arceaux,10.48.131.92,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT5,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03F373CE,BVPN - Corporate 937,VPO0002,0022977660
DI:ACM.ZI:X.RTONE:DEMANDE,RTONE,ACM,MPL,BUREAU DE LA DEMANDE,DEMANDE,demande,10.47.95.47,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT6,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03F3CTA9,BVPN - Corporate 6739,VPO0005,0022978319
DI:ACM.ZI:X.RTONE:IMMO,RTONE,ACM,MPL,GEST IMMO ET SRC,IMMO,immo,10.47.95.48,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT6,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03F3FABC,BVPN - Corporate 5711,VPO0005,0022978333
DI:ACM.ZI:X.RTONE:MERCURE,RTONE,ACM,MPL,AGENCE MERCURE,MERCURE,mercure,10.48.131.98,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E17_FT5,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03DDZ9F5,BVPN - Corporate 937,VPO0002,0022965138
DI:ACM.ZI:X.RTONE:MPL-MASSANE,RTONE,ACM,MPL,AG- HAUTS DE MASSANE,MPL-MASSANE,mpl-massane,10.42.94.205,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT1,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03F36MB0,BVPN - Corporate 937,VPO0002,0022977611
DI:ACM.ZI:X.RTONE:SIEGE,RTONE,ACM,MPL,OPAC SIEGE SITE PPAL,SIEGE,siege,10.47.95.19,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT6,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03DE3Y90,BVPN - Corporate 13980,VPO0005,0022968821
DI:ACM.ZI:X.RTONE:VLEZ2,RTONE,ACM,MPL,AGENCE LEZ,VLEZ2,vlez2,10.41.10.65,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT1,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03F3ALB1,BVPN - Corporate 937,VPO0002,0022977789
DI:ADPGSI_AG.ZI:X.CONVATRI:100,CONVATRI,ADPGSI_AG,FR,MAN_EYBENS,100,100,10.191.94.35,,,,,FRA,FRANCE,-10,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEBMI541,CONVATRI,ADPGSI_AG,FR,MAN_BLAGNAC2,A100_CEBMI541,A100-CEBMI541,10.191.147.101,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CECSM881,CONVATRI,ADPGSI_AG,FR,MAN_CARQUEFOU2,A100_CECSM881,A100-CECSM881,10.191.135.136,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
