##v1.0##
FDN,OBJECT_TYPE,EQT_FDN,DOMAIN,ZONE,SITE,NAME,MNEMO,COMMENTARY,IP_ADDRESS,CIAL_TYPE,CIAL_PRIMARY,CIAL_PROTOCOL,CIAL_PE_NAME,CIAL_ACCESS_TYPE_NETWORK,CIAL_TAIL_CIRCUIT_BWD_UP,CIAL_TAIL_CIRCUIT_BWD_DOWN,CIAL_SOLD_BWD,SRV_STAT_DATA,SRV_LOAD_MAX_UP_SLA,SRV_LOAD_MAX_DOWN_SLA,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:ACM.ZI:X.RTONE:ARCEAUX.L:A0,LR,DI:ACM.ZI:X.RTONE:ARCEAUX,ACM,MPL,AGENCE ARCEAUX,A0,arceaux-A0,,,,,,,,,,,Y,,,CD03F373CE,BVPN - Corporate 937,VPO0002,0022977660
DI:ACM.ZI:X.RTONE:ARCEAUX.L:FE0/0,LAN,DI:ACM.ZI:X.RTONE:ARCEAUX,ACM,MPL,AGENCE ARCEAUX,FE0/0,arceaux-FE0/0,*** LAN DATA ***,,,,,,,,,,N,,,CD03F373CE,BVPN - Corporate 937,VPO0002,0022977660
DI:ACM.ZI:X.RTONE:DEMANDE.L:GE0/0,LAN,DI:ACM.ZI:X.RTONE:DEMANDE,ACM,MPL,BUREAU DE LA DEMANDE,GE0/0,demande-GE0/0,*** LAN DATA ***,,,,,,,,,,Y,,,CD03F3CTA9,BVPN - Corporate 6739,VPO0005,0022978319
DI:ACM.ZI:X.RTONE:DEMANDE.L:GE1/0,LR_LAN,DI:ACM.ZI:X.RTONE:DEMANDE,ACM,MPL,BUREAU DE LA DEMANDE,GE1/0,demande-GE1/0,*** WAN HD ***ORCH=RESEAU *** Interlan 1.0 ***,,,,,,,,,,Y,,,CD03F3CTA9,BVPN - Corporate 6739,VPO0005,0022978319
DI:ACM.ZI:X.RTONE:IMMO.L:GE0/0,LAN,DI:ACM.ZI:X.RTONE:IMMO,ACM,MPL,GEST IMMO ET SRC,GE0/0,immo-GE0/0,ORCH=CLIENT *** LAN CLIENT ***,,,,,,,,,,Y,,,CD03F3FABC,BVPN - Corporate 5711,VPO0005,0022978333
DI:ACM.ZI:X.RTONE:IMMO.L:GE1/0,LR_LAN,DI:ACM.ZI:X.RTONE:IMMO,ACM,MPL,GEST IMMO ET SRC,GE1/0,immo-GE1/0,*** WAN HD ***ORCH=RESEAU *** Interlan 1.0 ***,,,,,,,,,,Y,,,CD03F3FABC,BVPN - Corporate 5711,VPO0005,0022978333
DI:ACM.ZI:X.RTONE:MERCURE.L:A0,LR,DI:ACM.ZI:X.RTONE:MERCURE,ACM,MPL,AGENCE MERCURE,A0,mercure-A0,,,,,,,,,,,Y,,,CD03DDZ9F5,BVPN - Corporate 937,VPO0002,0022965138
DI:ACM.ZI:X.RTONE:MERCURE.L:FE0/0,LAN,DI:ACM.ZI:X.RTONE:MERCURE,ACM,MPL,AGENCE MERCURE,FE0/0,mercure-FE0/0,*** LAN CLIENT ***,,,,,,,,,,N,,,CD03DDZ9F5,BVPN - Corporate 937,VPO0002,0022965138
DI:ACM.ZI:X.RTONE:MPL-MASSANE.L:A0,LR,DI:ACM.ZI:X.RTONE:MPL-MASSANE,ACM,MPL,AG- HAUTS DE MASSANE,A0,mpl-massane-A0,ORCH=RESEAU *** Liaison DSL 0027XZR7 ***,,,,,,,,,,Y,,,CD03F36MB0,BVPN - Corporate 937,VPO0002,0022977611
DI:ACM.ZI:X.RTONE:MPL-MASSANE.L:FE0/0,LAN,DI:ACM.ZI:X.RTONE:MPL-MASSANE,ACM,MPL,AG- HAUTS DE MASSANE,FE0/0,mpl-massane-FE0/0,,,,,,,,,,,N,,,CD03F36MB0,BVPN - Corporate 937,VPO0002,0022977611
DI:ACM.ZI:X.RTONE:SIEGE.L:GE0/0,LAN,DI:ACM.ZI:X.RTONE:SIEGE,ACM,MPL,OPAC SIEGE SITE PPAL,GE0/0,siege-GE0/0,*** LAN DATA ***,192.168.1.10,,,,,,,,,N,,,CD03DE3Y90,BVPN - Corporate 13980,VPO0005,0022968821
DI:ACM.ZI:X.RTONE:SIEGE.L:GE0/1,LAN,DI:ACM.ZI:X.RTONE:SIEGE,ACM,MPL,OPAC SIEGE SITE PPAL,GE0/1,siege-GE0/1,*** Lien ADMIN GW ***,10.10.10.2,,,,,,,,,N,,,CD03DE3Y90,BVPN - Corporate 13980,VPO0005,0022968821
DI:ACM.ZI:X.RTONE:SIEGE.L:GE1/0,LR_LAN,DI:ACM.ZI:X.RTONE:SIEGE,ACM,MPL,OPAC SIEGE SITE PPAL,GE1/0,siege-GE1/0,*** WAN HD ***ORCH=RESEAU *** Interlan 1.0 ***,,,,,,,,,,Y,,,CD03DE3Y90,BVPN - Corporate 13980,VPO0005,0022968821
DI:ACM.ZI:X.RTONE:VLEZ2.L:A0,LR,DI:ACM.ZI:X.RTONE:VLEZ2,ACM,MPL,AGENCE LEZ,A0,vlez2-A0,,,,,,,,,,,Y,,,CD03F3ALB1,BVPN - Corporate 937,VPO0002,0022977789
DI:ACM.ZI:X.RTONE:VLEZ2.L:FE0/0,LAN,DI:ACM.ZI:X.RTONE:VLEZ2,ACM,MPL,AGENCE LEZ,FE0/0,vlez2-FE0/0,*** LAN DATA ***,,,,,,,,,,N,,,CD03F3ALB1,BVPN - Corporate 937,VPO0002,0022977789
DI:ADPGSI_AG.ZI:X.CONVATRI:100.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:100,ADPGSI_AG,FR,MAN_EYBENS,Port A-3,100-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:100.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:100,ADPGSI_AG,FR,MAN_EYBENS,Port N-1,100-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEBMI541.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEBMI541,ADPGSI_AG,FR,MAN_BLAGNAC2,Port A-3,A100-CEBMI541-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEBMI541.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEBMI541,ADPGSI_AG,FR,MAN_BLAGNAC2,Port N-1,A100-CEBMI541-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CECSM881.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CECSM881,ADPGSI_AG,FR,MAN_CARQUEFOU2,Port A-3,A100-CECSM881-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CECSM881.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CECSM881,ADPGSI_AG,FR,MAN_CARQUEFOU2,Port N-1,A100-CECSM881-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEHRW091.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEHRW091,ADPGSI_AG,FR,MAN_HEROUVILLE,Port A-3,A100-CEHRW091-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEHRW091.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEHRW091,ADPGSI_AG,FR,MAN_HEROUVILLE,Port N-1,A100-CEHRW091-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMRY741.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMRY741,ADPGSI_AG,FR,MAN_MARSEILLE,Port A-3,A100-CEMRY741-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMRY741.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMRY741,ADPGSI_AG,FR,MAN_MARSEILLE,Port N-1,A100-CEMRY741-Port N-1,,,,,,,,,,,N,,,,,,
