##v1.0##
#family,reference,subtype,domain,cosType
DI.ZI.RTCIS.L.N,AG2R_LM.X.BEZIERSAPHRO-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.BEZIERSAPHRO-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.BEZIERSAPHRO-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CGRRGUADELOUPE-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CGRRGUADELOUPE-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CGRRGUADELOUPE-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CGRRGUADELOUPE-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CHARTRES-INTERNES.GE0/0/1.2,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CHARTRES-INTERNES.GE0/0/1.2,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CHARTRES-PART.GE0/1.5,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CHARTRES-PART.GE0/1.5,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CLERMONTAGRICU-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CLERMONTAGRICU-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CLERMONTAGRICU-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.CLERMONTAGRICU-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.IGRCGUYANE-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.IGRCGUYANE-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.IGRCGUYANE-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.IGRCGUYANE-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.INSPBOURGOGNE-N.S0/0/0.16,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.INSPBOURGOGNE-N.S0/0/0.16,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.INSPBOURGOGNE-S.S0/0/0.16,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.INSPBOURGOGNE-S.S0/0/0.16,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.INSPNIMES-N.S0/0/0.16,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.INSPNIMES-N.S0/0/0.16,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.INSPNIMES-S.S0/0/0.16,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.INSPNIMES-S.S0/0/0.16,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.IRCOMMARTINIQ-N.ATM0/0/IMA0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.IRCOMMARTINIQ-N.ATM0/0/IMA0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.IRCOMMARTINIQ-S.ATM0/0/IMA0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.IRCOMMARTINIQ-S.ATM0/0/IMA0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MARSEILLEPR117-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MARSEILLEPR117-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MARSEILLEPR117-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MARSEILLEPR117-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MARSEILLEPR300-N.GE0/1.26,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MARSEILLEPR300-N.GE0/1.26,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MONS-INTERNES.GE0/0/1.2,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MONS-INTERNES.GE0/0/1.2,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MONS-PART.GE0/1.35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.MONS-PART.GE0/1.35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.PRODIRECTMARSE-S.GE0/1.27,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.PRODIRECTMARSE-S.GE0/1.27,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.TOULOUSERUSSEL-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.TOULOUSERUSSEL-N.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.TOULOUSERUSSEL-S.ATM0.8-35,L,,0
DI.ZI.RTCIS.L.N,AG2R_LM.X.TOULOUSERUSSEL-S.ATM0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AGDEROUSSEAU-N.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AGDEROUSSEAU-N.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AGDEROUSSEAU-S.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AGDEROUSSEAU-S.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AGENDESMOULINS-N.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AGENDESMOULINS-N.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AGENDESMOULINS-S.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AGENDESMOULINS-S.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AIXREPUBLIQUE-N.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AIXREPUBLIQUE-N.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AIXREPUBLIQUE-S.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.AIXREPUBLIQUE-S.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.ALBIJAURES-N.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.ALBIJAURES-N.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.ALBIJAURES-S.A0.8-35,L,,0
DI.ZI.RTONE.L.N,AG2R_LM.X.ALBIJAURES-S.A0.8-35,L,,0
