##v1.0##
FDN,SUBTYPE,PATHNAME,DOMAIN,DOMAINCORREL,MNEMONIC,INDICATOR,FORMULA,COMMITMENTVALUE,COMMITMENTTHRESHOLD,EXCEPTIONTHRESHOLD,INDICATORTHRESHOLDB,INDICATORTHRESHOLDT3,MEASUREPROTOCOL,COS,ORIGINSITENAME,ORIGINFDN,ORIGINIP,DESTINATIONSITENAME,ENDFDN,TARGETIP,CORRELATIONBACKUPTYPE,VPN,NETWORKFDN,ORIGIN,ADMINADDRESS,MANUFACTURER
DI:ADPGSI_AG.ZI:X.LIRT:-2-0022GBU6-55,LIRT,,ADPGSI_AG,,A2140-NEDID--2-P2P-0022GBU6-DATA,RTD,,5,,,10,30000,saa-jitt3,6,,DI:ADPGSI_AG.ZI:X.RTVATRI:-2-0022GBU6,10.191.125.228,,,,128,,,,10.191.125.228,atricaVirtualRouter
DI:ADPGSI_AG.ZI:X.LIRT:-2-0022GBV1-64,LIRT,,ADPGSI_AG,,A2140-NESGW--2-P2P-0022GBV1-DATA,RTD,,5,,,10,30000,saa-jitt3,6,,DI:ADPGSI_AG.ZI:X.RTVATRI:-2-0022GBV1,10.191.74.60,,,,128,,,,10.191.74.60,atricaVirtualRouter
DI:ADPGSI_AG.ZI:X.LIRT:A2140-CEPUD78A-VV411875-56,LIRT,,ADPGSI_AG,,A2140-CEPUD78A-P2P-VV411875-DATA,RTD,,5,,,10,30000,saa-jitt3,6,,DI:ADPGSI_AG.ZI:X.RTVATRI:A2140-CEPUD78A-VV411875,10.191.99.51,,,,128,,,,10.191.99.51,atricaVirtualRouter
DI:ADPGSI_AG.ZI:X.LIRT:A2140-CETPD--N-VV411882-36,LIRT,,ADPGSI_AG,,A2140-CETPD--N-P2P-VV411882-DATA,RTD,,5,,,10,30000,saa-jitt3,6,,DI:ADPGSI_AG.ZI:X.RTVATRI:A2140-CETPD--N-VV411882,10.191.99.36,,,,128,,,,10.191.99.36,atricaVirtualRouter
DI:ADPGSI_AG.ZI:X.LIRT:KBRE1002-5-1-1140,LIRT,,ADPGSI_AG,,KBRE1002-0022PCF9-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:ADPGSI_AG.ZI:X.SWOMRV:KBRE1002,10.67.192.75,,,,128,,,,10.67.192.75,MRV
DI:ADPGSI_AG.ZI:X.LIRT:PBRI095-1,LIRT,,ADPGSI_AG,,,RTD,,60,,,90,30000,saa-echo,0,,DI:ADPGSI_AG.ZI:X.RTCIS:PBRI095,10.66.86.207,,,57.211.215.245,128,,,,10.66.86.207,cisco
DI:AG2R_LM.ZI:X.LIRT:AMPHITEA-N-1,LIRT,,AG2R_LM,AG2R_LM,Alm-amphitea-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:AMPHITEA-N,10.112.248.34,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.112.248.34,one-access
DI:AG2R_LM.ZI:X.LIRT:AMPHITEA-N-2,LIRT,,AG2R_LM,AG2R_LM,Alm-amphitea-n-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:AMPHITEA-N,10.112.248.34,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.112.248.34,one-access
DI:AG2R_LM.ZI:X.LIRT:AMPHITEA-N-3,LIRT,,AG2R_LM,AG2R_LM,Alm-amphitea-n-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:AMPHITEA-N,10.112.248.34,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.112.248.34,one-access
DI:AG2R_LM.ZI:X.LIRT:AMPHITEA-S-1,LIRT,,AG2R_LM,AG2R_LM,Alm-amphitea-s-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:AMPHITEA-S,10.113.36.31,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.113.36.31,one-access
